CODE,DESCRIPTION,EXAMPLE
ADHDPerceptions,"An opinion about how people with ADHD behave (maybe in contrast to others), what they can do, whether ADHD helps or hurts overall or in software engineering particularly, or a work impact that someone is speculating about generally. If the quote includes their own experience as supporting evidence, it should be tagged under WorkImpacts. Includes quotes where someone thinks something would affect neurotypical people or other people as well (must be a comparison to ADHD’ers). Also includes ideas about ADHD generally – is it a mental illness, a disability, a superpower, etc.",
ADHDPerceptions_Negative,"When the perception of ADHD is negative, or that it affects work negatively for most.","""This might be true, but I would caution that I'm pretty sure I know more than most of my colleagues, but still feel like I don't know enough. And even when I absolutely do know enough, getting started doing it remains impossible. I think that's fairly typical with ADHD."""
ADHDPerceptions_Positive,"When the perception of ADHD is positive, or that it affects work postively.","""Look on the bright side....ADHD primes you for learning new things!
The question is...does whatever they're going to ask you to do sound interesting for you to learn? If yes, you'll soak it up..."""
ADHDPerceptions_Mixed,"When the perception of ADHD is somewhat positive, somewhat negative (both facets must be mentioned).","""You're not ""dumb"" you just need extra help to manifest your intelligence. Medication is one kind of help, and once you're able to get some, you really should try again with the whole office job thing."""
ADHDPerceptions_Neutral,"When the perception is not about how ADHD affects things, or is anything else. For example, how many people they think have ADHD in software, what diagnoses people think coexist with ADHD, etc. Or: anything where there is no explicit positive or negative connotation. ","""One thing I learned is that a huge number of us in co-development world that have similar neuro atypical conditions so what that means is that the very experienced interviewers in this realm, including myself, know comes with the territory"""
CopingMech,"A strategy someone uses to deal with an adverse mental health effect at work or at home. Does not necessarily have to be mentioned as a coping mechanism explicitly for ADHD. Includes context of a strategy/coping mechanism, like why it works. Includes coping mechanisms that someone has tried, but hasn’t worked for them. Includes perceptions of how other people at work seem to view strategies used by people with ADHD in SE workplaces.",
CopingMech_Medication,"Taking prescribed substances, e.g., Adderall or SSRIs, to aid mental health or work outcomes.",
CopingMech_Medication_SelfRegulation,"Regulating usage of medication, often in the case of side effects, drug tests, or the perception of being better at a certain task without medication. ","""Never, I don’t ever mention it, and I stop taking the meds before the drug test. I can do the job just fine so it’s not necessary to risk it like that"""
CopingMech_Novelty,When someone specifically uses the novelty of a task or job to keep their interest or motivation going to complete it.,"""What does help *a lot* is novelty. Which is one of the bigger factors for me to switch careers into programming, because it seems like there is tons of novelty in the form of constantly learning. I'd love to be able to last a full year before burnout hits. Right now I'm like 3 months (shit call center jobs) before i crash."""
CopingMech_Mindset,"Changing thinking or self-talk to help with work or mental health. (Includes lots of ""hand-wavey"" things.)","""I absolutely agree, when you're starting out use the excitement and the novelty of the job to get shit done, you will eventually get bored of it."" ""Use nervous energy to do it"""
CopingMech_Mixed,The poster's opinion a coping mechanism is mixed (has some positive and negative effects).,"""Maybe  you can spend some time in a conference room when its empty (but this makes you stand out. Not sure this is  a good idea.)"""
CopingMech_ProfessionalHelp,"When someone gets help from a professional, such as a therapist or job coach.","""Things started turning around when I finally started going to therapy..."""
CopingMech_Reception,When someone describes others' real or potential reactions to a coping mechanism that they or someone else has used.,"""I work mornings. I’m up at 4-4:30am and working by 5. Finish my day around 3. Suits me really well and my company has been happy with it."""
CopingMech_RecreationalSubstances,Taking substances that are not prescribed.,"""The (terrible) habit I’ve developed is smoking a cigarette in the morning. I literally can’t function before I do that and I hate myself for it"""
CopingMech_SelfHelpResource,"When someone names a specific or generic self help resource, such as a YouTube channel or book, that they look to for help.","""I also recommend listening to ADHD podcasts like 'Taking Control with ADHD'."""
CopingMech_SupportGroups,"When mentioning a support group specifically geared toward neurodivergent or disabled programmers (uncommon -- we only saw one instance of this, and none in the workplace).","""I would encourage you to look for a CHADD group sessions in your area. It is free and they will provide you the support you need right now and be a very helpful resource for more help. You can try and look for local CHADD group"""
