Document #,ATLAS.ti name,Presegmented,Top level ,Second level,Clean?
D1,A,All,All,A1,X
D2,B,All,All,A1,X
D3,C,All,All,A1,X
D4,D,All,All,A1,X
D5,E,All,All,A1,X
D6,F,All,All,All,X
D7,G,All,All,A1,X
D8,H,All,All,A1,X
D9,I,All,All,A1,X
D10,J,All,All,All,X
D11,K,All,All,All,X
D12,L,All,All,A1,X
D13,M,A1,All,A1,X
D14,N,A1,A1,A3,X
D15,O,A1,All,A1,X
D16,1.pdf,A1,"A1, Collaborator",A2,X
D17,2.pdf,A1,"A1, Collaborator",A2,X
D18,3.pdf,A1,"A1, Collaborator",All,X
D19,4.pdf,A1,"A1, Collaborator",A2,X
D20,5.pdf,A1,A3,A1,X
D21,6.pdf,A4,"Collaborator, A1",A1,X
D22,7.pdf,A4,A3,A2,X
D23,8.pdf,A1,A1,A3,X
D24,9.pdf,A4,"Collaborator, A1",A1,X
D25,10.pdf,A4,A3,A1,X
D26,11.pdf,A1,A3,A2,X
D27,12.pdf,A1,A3,A1,X
D28,13.pdf,A1,A3,A1,X
D29,14.pdf,A1,A3,A1,X
D30,15.pdf,A1,A3,A1,X
D31,16.pdf,Collaborator,A3,A1,X
D32,17.pdf,Collaborator,A3,A1,X
D33,18.pdf,Collaborator,A3,A1,X
D34,19.pdf,Collaborator,A3,All,X
D35,20.pdf,A3,A1,All,X
D36,21.pdf,A3,A1,A2,X
D37,22.pdf,A3,A1,A2,X
D38,23.pdf,A3,"Collaborator, A1",A1,X
D39,24.pdf,A3,A1,A2,X
D40,25.pdf,A3,A1,A2,X
D41,26.pdf,A3,A1,A2,X
D42,27.pdf,A3,A1,All,X
D43,28.pdf,A3,A1,A2,X
D44,29.pdf,A3,A1,A2,X
D45,30.pdf,A1,A3,All,X
D46,31.pdf,A1,A1,A3,X
D47,32.pdf,A1,A3,A1,X
D48,33.pdf,A1,A3,A1,X
D49,34.pdf,A1,A3,A1,X
D50,35.pdf,A1,A1,A3,X
D51,36.pdf,A1,A3,A1,X
D52,37.pdf,A1,A3,A1,X
D53,38.pdf,A1,A3,A2,X
D54,39.pdf,A1,A1,A3,X
D55,40.pdf,A1,A3,A1,X
D56,41.pdf,A1,A3,A1,X
D57,42.pdf,A1,A3,A1,X
D58,43.pdf,A1,A2,A1,X
D59,44.pdf,A1,A2,A1,X
D60,45.pdf,A1,A2,A3,X
D61,46.pdf,A1,A2,A3,X
D62,47.pdf,A4,A3,A1,X
D63,48.pdf,A4,A1,All,X
D64,49.pdf,A3,A2,A1,X
D65,50.pdf,A3,A2,A1,X
D66,51.pdf,A1,A1,A2,X
D67,52.pdf,A3,A1,A2,X
D68,53.pdf,A3,A1,A2,X
D69,54.pdf,A3,A1,All,X
D70,55.pdf,A4,A1,A3,X
D71,56.pdf,A4,A1,A3,X
D72,57.pdf,A4,A1,A3,X
D73,58.pdf,A4,A2,A1,X
D74,59.pdf,A1,A1,All,X
D75,60.pdf,A4,A2,A1,X
D76,61.pdf,A1,A1,All,X
D77,62.pdf,A1,A3,A2,X
D78,63.pdf,A4,A1,A3,X
D79,64.pdf,A1,A1,All,X
D80,65.pdf,A1,A3,A2,X
D81,66.pdf,A1,A3,All,X
D82,67.pdf,A1,All,All,X
D83,68.pdf,A1,All,All,X
D84,69.pdf,A4,A1,A3,X
D85,70.pdf,A4,A1,A2,X
D86,71.pdf,A4,A1,A2,X
D87,72.pdf,A4,A1,A3,X
D88,73.pdf,A4,A1,A2,X
D89,74.pdf,A4,A1,A2,X
D90,75.pdf,A1,A3,A1,X
D91,76.pdf,A1,A1,All,X
D92,77.pdf,A1,A3,A1,X
D93,78.pdf,A1,A3,A1,X
D94,79.pdf,A1,A1,A3,X
D95,80.pdf,A1,A3,A1,X
D96,81.pdf,A1,A1,All,X
D97,82.pdf,A1,A3,A1,X
D98,83.pdf,A1,A3,A1,X
D99,84.pdf,A1,A3,A1,X
